Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,13.78,17.39,0.0,10.81,16.99,0.16,0.63,4.05,10.26,1.54,14.84,0.0,0.3
Feb,13.57,23.51,0.01,13.93,23.93,0.0,0.0,0.0,6.3,0.0,2.01,4.75,22.5
Mar,43.65,51.11,25.98,35.6,39.9,41.78,120.58,52.74,19.99,107.78,11.77,11.04,35.1
Apr,104.01,136.69,5.32,141.4,0.0,37.01,0.0,68.06,9.78,0.0,2.06,32.47,85.0
May,126.91,180.92,48.92,130.56,73.93,54.82,62.57,74.31,66.11,62.38,145.95,62.49,186.4
Jun,94.87,300.36,0.0,94.61,0.0,0.0,25.4,72.21,46.12,23.63,77.94,46.67,92.0
Jul,51.48,286.91,0.0,55.25,7.57,0.0,69.39,46.56,31.14,74.12,40.88,27.07,113.4
Aug,154.7,223.0,65.17,140.89,55.22,89.4,55.46,66.74,66.9,52.17,68.86,70.5,147.7
Sep,242.64,208.59,170.79,235.9,151.91,175.02,76.81,0.0,83.99,87.58,0.0,81.96,120.9
Oct,259.61,288.42,0.0,274.01,226.67,0.0,204.72,138.09,118.97,197.47,142.21,125.78,211.2
Nov,229.09,174.86,46.28,194.74,165.0,60.33,64.47,46.62,79.3,67.34,42.63,72.51,85.7
Dec,46.76,47.07,31.6,47.22,46.76,33.97,0.0,20.92,28.14,0.0,23.34,41.21,5.2
