Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,11.13,12.88,21.9,0.0,2.34,8.33,0.87,0.64,1.95,0.8
Feb,5.98,11.81,15.9,17.75,0.0,3.27,0.25,0.0,10.49,0.0
Mar,0.0,7.45,12.28,0.1,2.91,9.67,0.44,2.88,0.0,1.3
Apr,46.99,24.38,9.63,0.1,11.16,0.0,0.14,10.27,9.91,53.2
May,27.9,79.05,24.63,0.0,0.0,23.12,9.88,0.0,25.24,38.8
Jun,94.03,65.93,18.13,137.77,47.85,34.72,127.35,47.85,52.45,48.7
Jul,122.87,102.3,40.92,0.0,54.88,85.78,108.81,236.24,103.07,150.0
Aug,99.69,115.59,37.71,168.88,101.74,108.31,137.52,232.34,125.82,170.4
Sep,176.04,154.7,36.44,292.14,207.47,104.84,85.88,206.02,121.9,86.1
Oct,118.05,196.84,53.15,156.56,328.1,112.14,225.44,340.63,118.57,177.2
Nov,232.78,224.04,45.44,62.47,28.71,145.38,109.81,47.95,149.75,908.0
Dec,48.56,117.15,37.19,48.91,58.33,93.39,80.77,212.98,97.81,384.8
