Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,26.27,25.12,16.11,4.34,29.98,0.0,10.24,0.0,9.92,8.53,0.0,16.4,5.1
Feb,11.8,24.42,1.98,5.73,23.31,24.01,5.31,21.88,13.52,4.99,27.64,24.87,20.7
Mar,18.65,36.1,24.08,28.39,45.88,20.58,36.29,34.35,46.23,37.15,30.81,49.59,105.3
Apr,98.6,99.46,21.32,41.76,38.89,52.13,46.05,51.68,44.82,44.2,31.36,39.59,88.6
May,149.23,124.83,58.32,78.23,69.55,85.96,85.88,106.41,73.24,85.74,123.49,74.36,53.9
Jun,94.22,166.89,35.98,65.49,27.96,60.31,47.62,58.6,38.43,49.81,33.79,39.69,78.4
Jul,65.21,122.38,16.43,33.7,33.24,44.23,17.04,21.89,21.63,13.94,22.41,31.83,52.7
Aug,86.03,101.16,29.32,71.42,22.84,29.96,15.29,14.39,22.11,15.04,13.56,25.51,147.5
Sep,96.32,101.68,86.66,90.62,62.94,94.23,42.84,0.0,53.38,36.84,0.0,39.25,65.9
Oct,197.8,221.62,70.94,196.74,171.03,63.03,158.12,184.4,107.16,154.68,180.1,112.36,251.2
Nov,176.55,186.91,283.47,196.88,244.47,280.84,314.5,236.53,236.92,311.83,294.48,229.87,197.6
Dec,77.02,65.45,131.8,70.8,102.41,127.24,66.99,94.89,138.1,62.6,193.04,139.95,71.0
