Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,38.84,20.19,0.0,4.07,11.02,13.34,17.99,28.71,25.99,5.1
Feb,1.69,18.87,0.66,0.0,0.0,22.73,5.74,0.0,13.71,20.7
Mar,34.43,37.74,32.79,23.23,34.19,36.37,47.04,76.38,36.99,105.3
Apr,48.79,41.18,31.29,29.3,45.08,40.73,34.49,66.71,50.56,88.6
May,113.93,54.86,44.66,57.23,79.01,65.43,75.45,122.7,61.99,53.9
Jun,49.21,40.26,61.67,46.77,48.41,25.54,52.8,53.54,40.71,78.4
Jul,39.86,33.05,29.9,21.06,24.81,25.35,25.67,73.38,30.11,52.7
Aug,27.53,27.01,49.35,0.0,22.83,18.68,33.21,54.61,21.71,147.5
Sep,19.76,43.38,51.33,0.0,47.22,46.95,18.49,49.53,48.9,65.9
Oct,252.58,156.51,60.76,0.0,152.28,128.47,116.53,293.01,143.41,251.2
Nov,376.05,238.91,52.21,326.89,311.84,244.83,348.69,374.43,254.78,197.6
Dec,71.9,124.09,21.73,238.81,138.25,126.01,135.09,98.36,120.8,71.0
