Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.23,20.69,28.22,1.54,22.65,37.9,79.85,143.98,21.58,133.58,140.83,16.23,0.0
Feb,1.7,8.77,0.6,0.6,11.04,0.0,0.06,0.55,7.52,0.04,0.76,1.31,34.9
Mar,8.89,10.75,0.0,5.07,9.57,14.66,0.0,1.77,0.0,0.0,3.5,4.27,34.2
Apr,20.86,33.44,2.01,0.0,23.09,4.57,0.0,18.69,0.0,0.0,18.98,13.0,3.7
May,80.64,93.69,34.3,80.35,94.02,48.73,105.17,88.48,55.38,106.22,135.29,56.93,14.5
Jun,40.56,54.73,40.81,43.06,56.59,42.68,42.74,67.68,54.21,38.65,68.55,53.89,58.3
Jul,60.02,78.94,49.49,100.3,116.39,59.69,97.92,118.93,61.21,98.59,133.5,60.41,72.0
Aug,106.66,90.03,277.69,77.15,154.62,283.84,258.39,0.0,365.1,202.98,0.0,356.58,42.8
Sep,166.42,150.16,112.04,158.96,165.26,111.22,172.76,136.5,107.02,129.34,153.36,113.88,136.6
Oct,174.85,192.06,228.02,178.51,187.87,228.13,146.96,132.1,236.33,179.67,152.27,221.93,180.6
Nov,148.59,165.47,54.21,149.17,164.09,77.98,156.67,188.86,117.03,153.23,173.82,120.59,187.5
Dec,65.21,68.02,76.05,65.86,68.5,78.79,71.3,76.74,128.44,73.18,113.96,118.15,25.0
