Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.12,12.34,14.45,0.0,24.23,6.99,23.71,23.98,7.86,0.0
Feb,6.52,10.58,0.0,0.1,0.0,4.14,0.29,0.6,6.72,34.9
Mar,0.26,0.98,0.02,0.1,0.09,2.85,3.31,1.08,0.75,34.2
Apr,1.02,3.82,15.63,0.0,14.06,21.66,2.03,30.95,6.77,3.7
May,132.84,59.52,41.63,84.0,100.77,65.04,107.92,101.13,56.55,14.5
Jun,50.87,48.15,31.57,59.88,56.69,27.59,40.73,57.36,41.96,58.3
Jul,35.03,50.47,38.84,64.86,79.56,50.33,78.75,73.03,65.67,72.0
Aug,120.67,89.49,32.01,0.0,211.09,101.96,168.75,212.93,127.69,42.8
Sep,112.95,99.89,60.96,114.63,106.39,116.77,119.78,124.35,119.78,136.6
Oct,92.83,131.93,44.67,162.83,131.32,118.54,134.51,195.92,130.62,180.6
Nov,160.39,148.45,51.36,135.1,122.28,148.77,135.35,121.29,150.58,187.5
Dec,50.38,115.76,25.1,96.14,80.63,87.47,100.53,109.25,98.88,25.0
