Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,13.04,14.91,8.15,14.73,14.11,10.59,10000,10000,10000,10000,10000,10000,
Feb,9.69,25.6,1.89,32.12,15.53,6.67,10000,10000,10000,10000,10000,10000,
Mar,42.59,55.95,8.92,105.81,107.75,2.42,10000,10000,10000,10000,10000,10000,
Apr,49.29,96.45,25.37,109.78,130.04,50.2,10000,10000,10000,10000,10000,10000,
May,115.51,193.69,56.18,111.74,397.38,80.04,10000,10000,10000,10000,10000,10000,
Jun,252.76,193.01,0.0,92.35,126.29,0.0,10000,10000,10000,10000,10000,10000,159.0
Jul,196.93,329.7,0.0,208.71,264.63,0.0,10000,10000,10000,10000,10000,10000,534.0
Aug,173.13,269.12,0.0,227.83,263.44,0.0,10000,10000,10000,10000,10000,10000,169.0
Sep,123.16,188.64,40.78,124.76,139.21,61.88,10000,10000,10000,10000,10000,10000,86.6
Oct,101.19,146.61,193.47,169.31,249.43,193.83,10000,10000,10000,10000,10000,10000,31.0
Nov,12.67,32.25,0.77,7.04,12.42,3.59,10000,10000,10000,10000,10000,10000,5.0
Dec,4.02,7.63,28.85,23.67,26.24,20.19,10000,10000,10000,10000,10000,10000,34.0
