Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,20.95,23.48,12.09,0.0,4.46,26.93,24.89,42.49,27.94,15.9
Feb,18.85,22.2,25.63,43.5,34.16,14.97,41.25,24.12,25.97,22.6
Mar,25.56,8.3,0.0,25.31,12.39,13.54,0.0,22.85,19.28,18.7
Apr,11.07,11.06,0.0,30.47,20.32,0.24,35.82,20.29,14.16,32.6
May,14.89,17.77,12.97,25.4,24.23,4.5,9.63,2.84,17.3,14.0
Jun,68.36,75.4,20.17,165.1,125.79,39.75,165.05,131.86,71.66,195.7
Jul,242.01,227.2,84.39,270.3,241.03,214.43,248.53,256.0,265.71,290.6
Aug,245.4,229.59,91.66,414.63,341.74,319.58,402.59,330.03,337.29,456.3
Sep,208.79,223.29,24.54,134.47,155.55,116.03,147.41,132.94,130.98,425.9
Oct,21.66,27.17,19.65,24.5,19.4,20.01,0.0,36.04,20.04,8.4
Nov,3.28,7.04,0.0,6.14,6.53,19.21,3.92,7.06,0.0,7.7
Dec,8.88,15.53,19.18,50.85,24.96,0.0,50.73,46.33,0.0,3.3
