Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,14.1,11.47,0.0,14.12,11.63,10.38,4.23,52.39,21.7,4.24,43.98,0.0,0.1
Feb,0.9,7.1,0.0,0.24,9.31,11.69,0.07,4.63,0.94,0.08,5.27,3.53,9.7
Mar,3.51,9.62,0.0,1.35,8.77,4.35,2.75,5.39,6.28,2.48,5.44,10.46,33.3
Apr,19.53,36.46,0.44,16.25,31.36,12.2,18.7,34.49,14.56,18.74,32.29,13.63,2.6
May,98.05,95.66,70.74,92.12,72.31,77.18,50.81,66.48,80.22,52.23,61.04,74.58,55.8
Jun,55.87,68.36,38.0,66.01,74.68,46.76,100.34,84.59,56.27,94.93,84.75,71.66,66.2
Jul,71.5,87.17,35.21,78.67,116.67,42.52,77.45,105.95,59.07,75.83,150.74,61.85,77.9
Aug,122.51,99.3,183.48,119.08,122.2,175.74,96.6,0.0,181.65,85.99,0.0,186.4,49.9
Sep,140.49,152.86,173.04,152.78,179.42,171.8,153.64,96.18,153.12,142.36,96.03,146.22,124.1
Oct,159.64,179.39,176.44,164.43,177.67,177.7,185.46,127.02,181.62,184.77,113.36,170.93,84.8
Nov,123.08,140.25,34.11,118.35,140.42,48.02,65.22,154.59,129.34,74.07,246.09,126.77,88.5
Dec,36.51,52.56,24.53,37.05,51.63,25.72,76.9,55.98,55.22,82.15,72.77,56.35,8.2
