Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.73,7.25,21.18,2.47,4.58,2.32,2.02,9.31,3.66,0.1
Feb,2.16,7.69,15.12,0.0,0.0,11.85,0.65,1.84,3.86,9.7
Mar,5.54,3.35,10.86,1.76,0.07,4.51,6.45,6.74,0.0,33.3
Apr,15.8,8.53,22.86,0.4,17.24,15.4,11.83,33.84,17.35,2.6
May,71.94,58.35,30.01,58.44,92.81,25.69,92.27,85.82,60.58,55.8
Jun,142.24,70.13,42.5,103.1,75.62,54.57,85.95,65.76,59.18,66.2
Jul,99.49,53.05,16.4,62.71,69.99,57.29,64.28,50.86,70.35,77.9
Aug,96.22,68.92,23.7,183.55,157.74,75.12,143.36,159.28,92.66,49.9
Sep,135.51,108.47,63.07,163.99,124.03,112.93,129.55,125.43,125.98,124.1
Oct,99.1,104.66,76.63,168.88,85.94,107.61,77.22,116.47,111.6,84.8
Nov,102.53,115.35,47.3,37.85,114.15,128.8,78.73,115.53,130.31,88.5
Dec,48.0,75.44,35.25,104.25,51.94,47.77,54.3,58.89,55.56,8.2
