Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.19,5.66,0.2,0.17,6.34,0.0,0.32,20.54,30.93,0.56,11.99,11.47,0.0
Feb,5.1,12.11,0.96,5.32,14.32,0.0,0.0,9.15,4.25,0.0,9.23,18.16,0.0
Mar,4.64,9.95,0.0,7.08,6.8,10.99,8.03,9.23,14.31,7.89,6.17,14.19,1.2
Apr,19.07,35.81,0.0,20.28,35.59,23.62,0.0,34.51,19.71,0.0,2.12,28.65,110.8
May,37.55,45.36,23.25,37.05,58.88,36.68,128.36,65.89,76.37,120.02,80.41,67.79,108.6
Jun,117.16,136.08,152.81,123.0,139.17,151.57,207.21,209.2,166.11,207.57,230.12,168.56,162.8
Jul,172.9,190.32,110.76,173.09,190.71,112.87,152.14,170.66,118.87,151.56,312.22,133.42,179.3
Aug,163.19,194.78,224.95,179.91,204.55,226.78,226.84,182.69,247.56,235.08,182.27,248.09,194.1
Sep,175.97,208.32,124.59,180.78,214.2,126.14,180.99,262.96,173.39,163.69,269.64,172.32,145.6
Oct,172.78,170.48,95.52,167.5,156.79,95.96,223.7,267.86,147.81,219.06,339.48,164.16,32.9
Nov,52.29,71.51,4.29,51.99,72.4,0.0,92.25,102.06,46.95,77.32,104.56,59.76,8.1
Dec,2.06,13.39,0.78,2.11,14.73,0.0,0.0,0.0,77.99,0.0,0.0,79.0,82.5
