Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,3.45,7.03,19.51,7.7,33.91,36.55,8.71,7.07,48.21,4.0
Feb,3.88,8.08,0.0,5.8,48.73,7.52,15.53,54.78,18.84,23.9
Mar,0.52,7.77,25.03,12.58,10.79,10.83,16.28,20.35,1.7,0.0
Apr,6.96,14.65,14.56,6.0,76.4,30.32,6.08,51.09,41.37,19.9
May,13.9,11.69,0.0,79.69,104.65,34.76,115.99,105.0,64.95,4.3
Jun,191.15,200.5,43.38,99.7,469.77,133.06,164.28,391.42,170.7,161.3
Jul,260.61,293.48,39.99,335.3,299.55,254.9,336.04,123.83,264.9,483.0
Aug,298.65,223.86,35.83,165.25,210.54,191.58,185.07,212.45,190.7,272.0
Sep,154.19,171.43,47.86,296.33,188.06,202.3,230.9,182.35,210.84,137.3
Oct,176.12,113.74,25.82,98.36,87.08,123.44,100.68,0.0,116.45,231.7
Nov,29.87,21.56,13.07,66.8,116.66,64.2,113.54,70.92,63.71,25.5
Dec,0.08,6.85,0.0,486.5,109.08,70.03,13.02,302.66,69.97,3.6
