Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.55,9.5,0.0,2.44,10.35,0.0,8.32,10.67,15.27,6.95,10.35,8.75,0.0
Feb,2.32,8.79,0.37,3.19,7.95,0.47,14.64,5.94,0.0,6.41,6.81,14.74,25.5
Mar,10.8,13.84,0.0,8.83,13.59,4.16,27.32,24.47,7.96,25.15,25.42,2.75,1.9
Apr,11.64,12.56,0.22,12.32,14.65,0.0,28.63,14.51,0.05,9.7,7.1,11.77,3.1
May,8.88,16.89,0.0,9.39,18.54,5.38,4.94,38.53,4.8,4.88,33.4,28.96,2.9
Jun,160.0,160.58,170.76,166.67,161.02,170.05,195.47,139.13,160.1,195.72,101.26,160.17,191.7
Jul,288.8,303.96,188.5,288.42,303.95,0.0,495.28,349.46,0.0,493.05,337.4,0.0,274.2
Aug,238.97,253.08,140.99,247.81,270.83,157.38,186.08,230.05,155.87,188.77,289.61,164.18,116.4
Sep,147.95,180.63,133.08,161.85,181.88,136.57,151.57,170.86,146.6,151.59,162.32,151.65,142.9
Oct,50.36,48.03,25.18,50.32,50.44,22.79,52.9,69.31,47.62,50.44,72.51,44.85,0.0
Nov,3.65,17.65,0.53,3.87,19.4,0.0,0.41,15.78,20.79,0.0,6.97,11.34,0.0
Dec,0.14,7.62,0.0,0.22,8.36,0.0,0.0,0.93,0.0,0.0,2.63,3.17,0.3
