Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.98,9.82,12.79,0.0,3.35,7.35,0.0,8.93,4.26,0.0
Feb,6.41,10.18,6.07,10.9,8.7,23.46,10.9,9.4,9.31,25.5
Mar,8.13,15.44,2.07,15.54,11.91,2.14,0.0,11.65,0.96,1.9
Apr,4.61,11.58,0.0,11.2,8.93,0.0,4.83,6.59,0.0,3.1
May,2.2,7.61,0.0,18.9,30.9,0.0,2.88,30.46,9.15,2.9
Jun,183.5,176.74,73.54,205.2,166.62,107.96,199.0,165.77,131.61,191.7
Jul,332.07,335.06,85.77,141.56,288.3,269.64,229.23,320.63,282.11,274.2
Aug,304.84,294.05,75.31,141.53,184.67,172.72,147.93,107.72,181.38,116.4
Sep,310.27,259.29,65.67,87.2,155.46,148.75,147.59,230.19,153.33,142.9
Oct,41.69,53.2,28.21,19.01,35.85,37.44,17.36,38.4,33.41,0.0
Nov,8.25,19.18,1.29,4.16,13.07,6.61,0.0,13.98,26.61,0.0
Dec,0.55,4.78,0.0,3.76,14.13,1.51,3.28,15.98,12.72,0.3
