Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.33,7.31,4.99,8.24,2.6,0.0,8.26,6.39,0.53,0.0
Feb,1.98,6.42,19.37,4.2,3.41,0.0,3.8,2.87,0.0,21.0
Mar,9.67,17.89,0.0,16.93,21.26,12.09,0.0,21.64,11.52,0.0
Apr,9.74,10.6,13.7,0.1,6.68,5.56,2.36,1.5,0.0,27.9
May,5.68,10.28,24.3,12.03,0.0,0.0,0.0,0.0,5.34,0.0
Jun,177.7,168.25,56.92,192.69,194.53,126.23,187.56,203.29,146.42,311.0
Jul,254.86,248.73,60.03,240.27,204.96,203.83,223.53,214.25,220.29,246.1
Aug,139.16,224.2,45.41,86.44,168.91,152.35,127.61,178.88,160.77,222.4
Sep,260.91,238.17,68.71,147.99,130.8,114.56,144.84,172.87,119.08,24.8
Oct,54.19,65.12,16.21,0.0,16.76,35.56,8.06,13.92,36.29,0.0
Nov,2.32,20.37,11.88,0.16,5.09,0.0,0.19,0.98,17.99,2.9
Dec,0.0,6.94,10.63,0.0,2.44,9.41,0.06,2.28,0.0,0.0
