Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,0.14,2.27,0.0,1.61,8.07,0.0,1.53,9.22,12.16,1.86,15.83,5.79,0.0
Feb,2.17,6.99,0.0,0.0,1.99,12.1,0.1,3.8,0.0,0.0,0.0,0.82,0.0
Mar,1.11,6.04,0.0,0.0,3.32,1.98,3.67,2.84,12.9,3.86,2.89,2.28,3.5
Apr,12.19,15.61,0.96,5.76,11.9,0.0,3.59,11.81,7.93,3.64,17.73,4.97,19.6
May,27.55,41.24,12.24,42.66,58.38,10.5,114.52,216.57,58.58,114.77,218.18,50.15,19.8
Jun,114.38,121.65,145.95,111.69,121.5,140.6,112.94,150.55,169.37,111.76,150.43,167.25,149.9
Jul,182.74,200.76,234.32,176.82,205.31,231.07,219.34,182.49,242.52,217.97,184.07,244.47,346.7
Aug,162.27,169.96,210.04,156.7,174.95,206.31,183.83,237.5,221.45,198.4,148.31,223.77,417.7
Sep,183.24,184.01,98.46,185.32,183.28,100.78,193.79,281.29,136.56,196.25,268.18,134.92,65.8
Oct,205.78,156.45,95.15,200.06,158.2,97.92,84.9,158.5,119.5,86.3,174.93,122.53,26.7
Nov,53.18,73.19,2.36,43.15,52.46,23.42,29.38,61.72,55.71,21.24,81.68,27.93,10.6
Dec,0.97,12.25,0.0,1.81,16.29,5.79,0.0,0.0,4.88,0.0,0.0,12.96,61.2
