Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,6.89,11.18,0.0,0.0,29.25,0.0,5.6,0.0,16.22,5.74,0.0,20.67,0.0
Feb,11.54,17.07,0.0,1.55,12.17,20.03,3.07,20.85,8.48,4.73,16.4,6.89,12.8
Mar,49.07,48.22,10.68,48.4,42.84,24.37,39.12,18.45,33.53,38.38,29.09,31.27,35.7
Apr,141.19,142.76,86.0,121.94,128.2,90.49,100.85,126.21,103.31,101.16,130.23,104.98,110.1
May,168.83,270.08,85.76,197.25,230.87,91.45,246.01,148.59,83.45,246.87,141.41,108.36,208.5
Jun,400.04,422.21,0.0,377.94,402.17,0.0,317.57,344.7,0.0,316.39,304.39,0.0,353.3
Jul,325.12,430.61,0.0,398.05,366.65,0.0,307.17,285.24,0.0,306.62,272.3,0.0,379.7
Aug,336.4,359.98,0.0,361.24,375.26,0.0,344.59,334.2,0.0,344.63,372.52,0.0,380.7
Sep,249.48,264.62,203.84,257.14,317.1,209.56,361.99,249.05,0.0,354.49,213.66,0.0,215.4
Oct,94.25,109.26,46.61,93.24,108.54,67.98,78.26,132.41,90.88,75.82,0.0,90.41,112.2
Nov,12.78,16.53,0.0,9.11,26.16,9.58,13.48,0.0,28.83,13.38,0.0,33.13,9.2
Dec,4.2,9.08,0.11,9.51,25.84,7.19,1.07,0.0,25.25,1.37,4.1,22.31,16.0
