Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,10.62,12.61,0.0,10.85,11.91,0.36,12.3,14.13,5.64,9.98,13.24,8.75,0.0
Feb,29.02,33.81,0.0,12.04,34.0,0.0,4.8,8.25,0.0,2.2,13.95,0.0,1.1
Mar,23.26,23.64,10.48,17.21,25.03,10.69,9.57,5.03,15.82,19.82,7.82,9.88,0.0
Apr,17.39,28.65,0.0,17.08,31.07,18.41,59.64,30.74,0.0,48.45,25.2,24.73,132.4
May,38.62,49.47,38.11,38.17,49.44,40.5,37.69,57.62,55.5,37.87,57.33,62.04,115.9
Jun,165.57,187.52,105.97,166.39,186.13,112.39,109.52,144.48,133.04,101.94,131.41,133.13,185.9
Jul,313.07,302.14,349.37,310.02,298.89,345.55,156.07,267.53,357.01,287.3,262.03,349.58,305.8
Aug,343.76,350.32,0.0,349.28,350.84,0.0,205.76,315.96,0.0,210.95,320.92,0.0,247.2
Sep,190.7,206.57,76.68,195.19,208.26,80.28,230.73,263.15,120.07,249.99,228.72,105.86,174.3
Oct,54.43,77.37,52.99,51.03,69.83,61.38,0.0,100.82,62.8,0.0,66.42,64.27,19.3
Nov,6.05,8.14,2.88,3.94,6.96,0.0,16.6,8.02,6.36,15.48,0.0,8.23,0.0
Dec,0.2,3.42,0.0,0.31,3.75,11.57,0.0,9.8,13.81,0.0,9.14,12.88,84.2
