Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,4.14,11.61,1.91,0.0,0.0,0.0,23.92,0.0,1.1,0.0
Feb,15.39,24.33,0.0,6.22,0.0,21.39,1.58,5.59,9.36,1.1
Mar,7.74,19.23,1.86,9.01,0.0,0.0,2.49,0.0,2.2,0.0
Apr,59.87,52.21,0.0,49.86,60.84,23.88,63.33,60.54,23.63,132.4
May,72.79,72.41,26.19,64.18,93.7,39.76,71.68,100.61,48.54,115.9
Jun,219.77,220.9,79.13,141.2,148.31,107.82,143.22,162.72,134.25,185.9
Jul,292.72,273.2,88.83,240.6,290.26,201.91,244.45,311.7,204.17,305.8
Aug,350.34,348.75,88.59,231.54,270.49,252.72,197.51,265.46,260.14,247.2
Sep,339.24,241.46,48.23,126.02,173.48,168.62,162.01,157.86,172.78,174.3
Oct,79.88,98.15,13.85,54.32,3.86,87.7,43.39,72.68,98.25,19.3
Nov,4.67,8.53,7.92,15.17,10.18,11.78,3.59,1.76,2.99,0.0
Dec,56.87,8.53,0.0,0.0,7.5,10.98,0.72,42.03,8.14,84.2
