Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,1.12,6.36,0.39,0.0,0.0,12.81,0.0,0.0,5.7,0.0,0.0,2.68,2.5
Feb,19.85,17.07,7.5,23.86,49.33,0.0,41.76,46.73,0.0,53.51,46.75,0.0,10.1
Mar,0.0,22.52,135.63,12.28,81.68,157.81,174.15,141.22,215.42,174.89,244.05,172.34,35.8
Apr,127.85,137.87,298.03,170.42,173.22,325.84,184.57,156.03,293.72,195.68,170.25,292.41,200.0
May,300.88,319.81,0.0,414.68,334.66,0.0,412.93,348.62,0.0,415.15,337.9,0.0,596.1
Jun,492.61,499.27,0.0,399.66,0.0,0.0,411.11,0.0,0.0,388.77,0.0,0.0,402.3
Jul,415.98,487.84,0.0,343.47,412.97,0.0,343.63,573.83,0.0,343.76,567.5,0.0,210.7
Aug,428.28,443.19,0.0,210.06,298.98,436.94,232.38,296.55,325.25,206.81,289.43,368.3,148.4
Sep,293.7,306.85,357.52,530.69,201.49,368.16,322.36,148.16,300.78,523.83,232.1,292.06,94.5
Oct,144.27,171.23,207.11,71.25,123.03,224.66,104.31,0.0,166.7,71.29,0.0,166.91,43.5
Nov,26.58,44.09,0.0,2.64,134.25,16.55,55.37,152.45,22.37,17.01,186.46,37.73,18.2
Dec,0.42,8.19,33.71,21.18,83.2,43.68,36.96,0.0,24.11,12.72,43.85,46.01,22.1
