Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,2.76,2.83,18.11,1.97,0.73,8.45,1.05,3.77,5.55,2.5
Feb,11.03,16.92,4.61,23.2,15.45,0.0,12.04,16.85,7.39,10.1
Mar,62.64,36.02,34.4,83.3,40.47,31.8,14.14,36.28,33.55,35.8
Apr,80.76,103.5,80.97,101.69,60.75,121.86,71.19,136.4,138.98,200.0
May,439.52,315.95,110.93,253.8,266.18,274.72,294.36,338.4,283.3,596.1
Jun,575.04,307.35,111.62,342.23,250.59,324.78,259.24,295.9,329.98,402.3
Jul,146.26,333.97,122.31,248.9,426.29,281.51,269.25,394.06,288.42,210.7
Aug,0.0,306.14,77.4,20.5,308.17,253.02,308.86,296.23,260.06,148.4
Sep,5.74,248.29,96.07,233.57,242.2,194.65,205.08,250.35,200.54,94.5
Oct,296.34,144.01,54.62,76.65,91.61,126.96,57.27,58.98,129.75,43.5
Nov,8.42,30.71,29.54,15.31,9.8,31.9,1.21,9.13,37.14,18.2
Dec,0.08,15.11,0.0,3.33,6.4,10.0,6.08,0.0,9.56,22.1
