Month,SVM-1,MLR-1,ANN-1,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,10.12,14.5,0.0,13.2,12.56,0.57,25.68,28.8,9.99,25.11,24.16,10.99,5.0
Feb,20.69,31.07,1.17,17.09,32.2,4.99,24.09,29.98,6.68,24.45,28.67,7.59,1.0
Mar,81.78,79.01,67.88,81.55,43.41,68.87,36.48,158.28,60.1,33.01,168.28,77.63,0.0
Apr,90.76,139.36,29.54,88.08,124.15,39.67,12.41,1.2,12.0,11.92,1.17,16.42,
May,41.14,246.16,15.91,60.15,185.49,18.66,11.09,7.64,0.0,11.13,9.74,4.26,
Jun,282.96,326.01,0.0,285.93,293.25,0.0,342.8,106.88,231.38,308.93,137.54,230.94,188.5
Jul,475.71,398.38,0.0,402.09,335.53,0.0,10000.0,387.19,237.79,10000.0,387.19,201.26,600.8
Aug,269.49,302.24,0.0,236.02,185.89,0.0,10000.0,310.68,120.85,10000.0,310.68,140.69,304.8
Sep,140.7,216.41,46.73,139.28,224.9,61.53,135.73,745.22,158.2,162.24,773.11,150.66,175.0
Oct,133.16,142.2,85.8,112.44,121.38,92.75,109.45,112.19,87.27,109.17,112.22,105.67,15.8
Nov,16.94,22.94,0.0,21.26,33.95,48.9,1.9,0.0,0.76,1.54,0.0,15.96,6.7
Dec,8.66,11.17,4.69,9.0,8.06,3.24,15.83,11.99,13.18,15.73,14.31,6.46,33.8
