Month,SVM-2,MLR-2,ANN-2,SVM-3,MLR-3,ANN-3,SVM-4,MLR-4,ANN-4,Original
Jan,10.1,11.52,16.53,10000,10000.0,10000.0,10000,10000.0,10000.0,
Feb,23.69,0.0,0.0,10000,10000.0,10000.0,10000,10000.0,10000.0,
Mar,0.0,0.0,19.7,10000,10000.0,10000.0,10000,10000.0,10000.0,
Apr,16.42,69.8,35.85,10000,10000.0,10000.0,10000,10000.0,10000.0,
May,204.89,198.56,72.57,10000,10000.0,10000.0,10000,10000.0,10000.0,
Jun,401.48,403.3,97.52,10000,81.88,183.58,10000,0.0,185.82,165.0
Jul,434.43,421.08,89.65,10000,10000.0,10000.0,10000,10000.0,10000.0,447.0
Aug,334.6,349.81,85.38,10000,10000.0,10000.0,10000,10000.0,10000.0,220.0
Sep,263.03,266.38,71.07,10000,10000.0,10000.0,10000,10000.0,10000.0,184.0
Oct,155.64,178.48,30.49,10000,10000.0,10000.0,10000,10000.0,10000.0,64.0
Nov,24.83,37.05,0.0,10000,10000.0,10000.0,10000,10000.0,10000.0,0.0
Dec,8.81,10.55,0.0,10000,10000.0,10000.0,10000,10000.0,10000.0,29.0
